"1949" 112
"1949.0833" 118
"1949.1667" 132
"1949.25" 129
"1949.3333" 121
"1949.4167" 135
"1949.5" 148
"1949.5833" 148
"1949.6667" 136
"1949.75" 119
"1949.8333" 104
"1949.9167" 118
"1950" 115
"1950.0833" 126
"1950.1667" 141
"1950.25" 135
"1950.3333" 125
"1950.4167" 149
"1950.5" 170
"1950.5833" 170
"1950.6667" 158
"1950.75" 133
"1950.8333" 114
"1950.9167" 140
"1951" 145
"1951.0833" 150
"1951.1667" 178
"1951.25" 163
"1951.3333" 172
"1951.4167" 178
"1951.5" 199
"1951.5833" 199
"1951.6667" 184
"1951.75" 162
"1951.8333" 146
"1951.9167" 166
"1952" 171
"1952.0833" 180
"1952.1667" 193
"1952.25" 181
"1952.3333" 183
"1952.4167" 218
"1952.5" 230
"1952.5833" 242
"1952.6667" 209
"1952.75" 191
"1952.8333" 172
"1952.9167" 194
"1953" 196
"1953.0833" 196
"1953.1667" 236
"1953.25" 235
"1953.3333" 229
"1953.4167" 243
"1953.5" 264
"1953.5833" 272
"1953.6667" 237
"1953.75" 211
"1953.8333" 180
"1953.9167" 201
"1954" 204
"1954.0833" 188
"1954.1667" 235
"1954.25" 227
"1954.3333" 234
"1954.4167" 264
"1954.5" 302
"1954.5833" 293
"1954.6667" 259
"1954.75" 229
"1954.8333" 203
"1954.9167" 229
"1955" 242
"1955.0833" 233
"1955.1667" 267
"1955.25" 269
"1955.3333" 270
"1955.4167" 315
"1955.5" 364
"1955.5833" 347
"1955.6667" 312
"1955.75" 274
"1955.8333" 237
"1955.9167" 278
"1956" 284
"1956.0833" 277
"1956.1667" 317
"1956.25" 313
"1956.3333" 318
"1956.4167" 374
"1956.5" 413
"1956.5833" 405
"1956.6667" 355
"1956.75" 306
"1956.8333" 271
"1956.9167" 306
"1957" 315
"1957.0833" 301
"1957.1667" 356
"1957.25" 348
"1957.3333" 355
"1957.4167" 422
"1957.5" 465
"1957.5833" 467
"1957.6667" 404
"1957.75" 347
"1957.8333" 305
"1957.9167" 336
"1958" 340
"1958.0833" 318
"1958.1667" 362
"1958.25" 348
"1958.3333" 363
"1958.4167" 435
"1958.5" 491
"1958.5833" 505
"1958.6667" 404
"1958.75" 359
"1958.8333" 310
"1958.9167" 337
"1959" 360
"1959.0833" 342
"1959.1667" 406
"1959.25" 396
"1959.3333" 420
"1959.4167" 472
"1959.5" 548
"1959.5833" 559
"1959.6667" 463
"1959.75" 407
"1959.8333" 362
"1959.9167" 405
"1960" 417
"1960.0833" 391
"1960.1667" 419
"1960.25" 461
"1960.3333" 472
"1960.4167" 535
"1960.5" 622
"1960.5833" 606
"1960.6667" 508
"1960.75" 461
"1960.8333" 390
"1960.9167" 432
